Raw Data Statistics
------------------------------  -----------  ------------------  ------------------  --------------------  ------------------
Feature                         25th         Median              75th                Mean                  Std. Dev
RESIDENTIAL Revenue             295385.5     389875.5            482979.25           403406.29114485986    133954.65135156526
RESIDENTIAL Sales               2938754.5    3433846.5           4097864.8           3585438.739953271     831692.235173482
RESIDENTIAL Customers           0.0          4580613.0           5236552.0           2719297.8644859814    2598742.7260366385
RESIDENTIAL Price               9.21         11.03               12.565000000000001  11.210771028037383    2.4245174129895615
COMMERCIAL Revenue              259461.0     340361.625          385633.25           327094.07123831776    82160.05780347924
COMMERCIAL Sales                3354706.0    3859543.5           4196894.55          3762965.487149533     614549.077778584
COMMERCIAL Customers            0.0          521389.5            607638.25           316384.78504672897    302667.1588998932
COMMERCIAL Price                7.64         8.524999999999999   9.1525              8.63193925233645      1.3683308018259361
INDUSTRIAL Revenue              173349.25    216285.0            248514.99000000002  218223.58953271026    49166.18703999739
INDUSTRIAL Sales                3407707.725  3542489.0           3721058.5           3565410.9025700935    261771.8142013964
INDUSTRIAL Customers            0.0          2411.5              5815.25             2956.6728971962616    2886.759884597525
INDUSTRIAL Price                5.0          6.035               6.825               6.1160747663551405    1.2974776082625483
TRANSPORTATION Revenue          0.0          2387.9849999999997  2932.4175           1801.916028037383     1466.462123671205
TRANSPORTATION Sales            0.0          36552.869999999995  43900.62            27157.89112149533     21756.8928958855
TRANSPORTATION Customers        0.0          3.0                 3.0                 2.1518691588785046    3.326166615897703
TRANSPORTATION Price            0.0          5.885               6.78                4.243317757009345     3.3157896427706697
Coal                            4050052.75   6436224.0           7706092.345         5890880.069695946     2147755.393269214
Hydroelectric conventional      8964.41      10752.5             12406.9675          10700.974864864866    2642.442120652912
Natural gas                     326458.25    811338.5            1551441.0           1053879.7010472973    884216.3994856947
Nuclear                         7679739.25   8043887.0           8417134.0           8027529.429054054     501674.3075319119
Other                           6160.0       18934.0             22888.9425          16084.81483108108     9517.770915900288
Other biomass                   33430.0      48540.5             56383.675           45222.143885135134    14851.588604595474
Other gases                     13553.0      18323.0             24082.0             18759.81287162162     8481.824452598798
Petroleum                       3851.5       6264.0              11271.75            18068.51820945946     43076.62980004718
Solar thermal and photovoltaic  0.0          2719.5              6392.345            41401.74118243244     114679.31377827504
Wind                            29161.5      568867.3            1187755.9275        764901.0304729729     762523.6315398823
Wood and wood derived fuels     0.0          0.0                 0.0                 5.90625               40.631809929748755
C RES PRICE                     6.809        7.109               7.358               7.488981132075473     1.2098484622178078
C PEA                           -0.5         -0.203              0.19075             -0.14117924528301884  0.4837571080296823
A RES PRICE                     4.715        6.162               8.24175             6.867896226415093     2.4693885230781913
A TIER PRICE                    4.476        5.015               7.693               6.253037735849054     2.2306186506468877
A PEA                           -0.27425     -0.1295             -0.0485             -0.11845283018867922  0.2264729202886418
------------------------------  -----------  ------------------  ------------------  --------------------  ------------------

Imputed Data Statistics
------------------------------  -----------  ------------------  ----------  ---------------------  -------------------
Feature                         25th         Median              75th        Mean                   Std. Dev
RESIDENTIAL Revenue             294288.25    389258.0            482904.68   401529.98281395354     136432.33821042796
RESIDENTIAL Sales               2933460.25   3430931.5           4092900.55  3568762.2806976745     864875.1515792646
RESIDENTIAL Customers           0.0          4579471.5           5233698.75  2706649.9674418606     2599285.618572955
RESIDENTIAL Price               9.2025       11.015              12.56       11.158627906976744     2.536294445191562
COMMERCIAL Revenue              258236.25    339147.485          385342.5    325572.7034651163      84936.41320889944
COMMERCIAL Sales                3351831.25   3859241.0           4196327.0   3745463.3220930235     664430.3417042413
COMMERCIAL Customers            0.0          519467.0            607589.0    314913.22790697677     302728.8240538274
COMMERCIAL Price                7.625        8.515               9.15        8.591790697674421      1.486125382956282
INDUSTRIAL Revenue              173134.0     215856.0            248148.73   217208.59609302322     51249.74075487056
INDUSTRIAL Sales                3403654.725  3540843.5           3720117.75  3548827.5960465115     356450.64175933506
INDUSTRIAL Customers            0.0          2392.5              5813.25     2942.920930232558      2887.056227979534
INDUSTRIAL Price                5.0          6.03                6.8175      6.087627906976745      1.3597029262281133
TRANSPORTATION Revenue          0.0          2384.9849999999997  2927.325    1793.5350232558137     1468.1758778426217
TRANSPORTATION Sales            0.0          36434.755           43860.2925  27031.57534883721      21784.747354090643
TRANSPORTATION Customers        0.0          3.0                 3.0         2.141860465116279      3.32165079147854
TRANSPORTATION Price            0.0          5.88                6.7775      4.223581395348837      3.3206448255313736
Coal                            0.0          4183490.5           7262948.5   4055117.443325581      3258771.621374176
Hydroelectric conventional      0.0          9141.5              11618.5     7366.252465116279      5419.498637850567
Natural gas                     0.0          364895.5            1167403.25  725461.3756046512      881164.4068749311
Nuclear                         0.0          7714207.5           8247386.5   5525927.234883721      3741245.674259318
Other                           0.0          7692.5              21662.5     11072.33765116279      10856.245467043547
Other biomass                   0.0          34359.5             53330.1125  31129.661837209303     24300.78631827796
Other gases                     0.0          14182.5             20850.25    12913.731651162789     11181.106342558865
Petroleum                       0.0          4065.5              8671.25     12437.86369767442      36706.59122987194
Solar thermal and photovoltaic  0.0          0.0                 4680.75     28499.80323255814      97060.40172268818
Wind                            0.0          67884.0             956580.115  526536.5233023255      725090.521313855
Wood and wood derived fuels     0.0          0.0                 0.0         4.065697674418605      33.82228394158026
C RES PRICE                     0.0          0.0                 0.0         1.8461209302325583     3.283021413877852
C PEA                           0.0          0.0                 0.0         -0.034802325581395344  0.24777216746708225
A RES PRICE                     0.0          0.0                 0.0         1.6930162790697671     3.203803089965093
A TIER PRICE                    0.0          0.0                 0.0         1.5414465116279061     2.9136272575564983
A PEA                           0.0          0.0                 0.0         -0.029199999999999993  0.12348991861686524
------------------------------  -----------  ------------------  ----------  ---------------------  -------------------

