DATE,HOUR,PRICE
10/10/2023,01,0.025530
10/10/2023,02,0.025210
10/10/2023,03,0.025140
10/10/2023,04,0.025600
10/10/2023,05,0.031170
10/10/2023,06,0.044580
10/10/2023,07,0.055900
10/10/2023,08,0.047570
10/10/2023,09,0.042320
10/10/2023,10,0.043900
10/10/2023,11,0.036120
10/10/2023,12,0.034510
10/10/2023,13,0.030370
10/10/2023,14,0.032360
10/10/2023,15,0.032580
10/10/2023,16,0.035150
10/10/2023,17,0.040620
10/10/2023,18,0.048060
10/10/2023,19,0.063580
10/10/2023,20,0.044810
10/10/2023,21,0.037640
10/10/2023,22,0.032230
10/10/2023,23,0.026530
10/10/2023,24,0.024950
10/11/2023,01,0.025240
10/11/2023,02,0.023620
10/11/2023,03,0.023790
10/11/2023,04,0.023980
10/11/2023,05,0.028540
10/11/2023,06,0.037350
10/11/2023,07,0.046620
10/11/2023,08,0.040250
10/11/2023,09,0.036980
10/11/2023,10,0.038570
10/11/2023,11,0.036110
10/11/2023,12,0.034280
10/11/2023,13,0.032220
10/11/2023,14,0.033430
10/11/2023,15,0.033200
10/11/2023,16,0.035030
10/11/2023,17,0.039400
10/11/2023,18,0.043140
10/11/2023,19,0.053640
10/11/2023,20,0.044440
10/11/2023,21,0.037630
10/11/2023,22,0.031690
10/11/2023,23,0.027680
10/11/2023,24,0.026490
10/12/2023,01,0.022170
10/12/2023,02,0.020460
10/12/2023,03,0.020940
10/12/2023,04,0.021560
10/12/2023,05,0.025840
10/12/2023,06,0.035050
10/12/2023,07,0.047010
10/12/2023,08,0.038200
10/12/2023,09,0.033900
10/12/2023,10,0.034560
10/12/2023,11,0.033260
10/12/2023,12,0.033890
10/12/2023,13,0.034880
10/12/2023,14,0.036850
10/12/2023,15,0.038080
10/12/2023,16,0.040530
10/12/2023,17,0.043790
10/12/2023,18,0.046370
10/12/2023,19,0.050320
10/12/2023,20,0.041530
10/12/2023,21,0.034030
10/12/2023,22,0.029310
10/12/2023,23,0.025110
10/12/2023,24,0.024010
10/13/2023,01,0.017850
10/13/2023,02,0.016470
10/13/2023,03,0.016220
10/13/2023,04,0.016870
10/13/2023,05,0.020130
10/13/2023,06,0.024510
10/13/2023,07,0.033280
10/13/2023,08,0.029430
10/13/2023,09,0.028670
10/13/2023,10,0.030080
10/13/2023,11,0.030900
10/13/2023,12,0.031090
10/13/2023,13,0.031960
10/13/2023,14,0.032820
10/13/2023,15,0.032540
10/13/2023,16,0.035320
10/13/2023,17,0.037320
10/13/2023,18,0.040950
10/13/2023,19,0.042030
10/13/2023,20,0.032900
10/13/2023,21,0.028720
10/13/2023,22,0.025420
10/13/2023,23,0.022210
10/13/2023,24,0.020750
10/14/2023,01,0.019440
10/14/2023,02,0.017490
10/14/2023,03,0.017270
