DATE,HOUR,PRICE
01/01/2024,01,0.021650
01/01/2024,02,0.021470
01/01/2024,03,0.021010
01/01/2024,04,0.021430
01/01/2024,05,0.021960
01/01/2024,06,0.023890
01/01/2024,07,0.025180
01/01/2024,08,0.025850
01/01/2024,09,0.024850
01/01/2024,10,0.024810
01/01/2024,11,0.023950
01/01/2024,12,0.023400
01/01/2024,13,0.022340
01/01/2024,14,0.021780
01/01/2024,15,0.022090
01/01/2024,16,0.024150
01/01/2024,17,0.030170
01/01/2024,18,0.032170
01/01/2024,19,0.027110
01/01/2024,20,0.025090
01/01/2024,21,0.022130
01/01/2024,22,0.021040
01/01/2024,23,0.019610
01/01/2024,24,0.020530
01/02/2024,01,0.019590
01/02/2024,02,0.018890
01/02/2024,03,0.018870
01/02/2024,04,0.020030
01/02/2024,05,0.022110
01/02/2024,06,0.024770
01/02/2024,07,0.031750
01/02/2024,08,0.028260
01/02/2024,09,0.024370
01/02/2024,10,0.023870
01/02/2024,11,0.022590
01/02/2024,12,0.022270
01/02/2024,13,0.021730
01/02/2024,14,0.021880
01/02/2024,15,0.021710
01/02/2024,16,0.025260
01/02/2024,17,0.034330
01/02/2024,18,0.033570
01/02/2024,19,0.029120
01/02/2024,20,0.028040
01/02/2024,21,0.027290
01/02/2024,22,0.025770
01/02/2024,23,0.025330
01/02/2024,24,0.025720
01/03/2024,01,0.025670
01/03/2024,02,0.024280
01/03/2024,03,0.024110
01/03/2024,04,0.025040
01/03/2024,05,0.027240
01/03/2024,06,0.032400
01/03/2024,07,0.041720
01/03/2024,08,0.039420
01/03/2024,09,0.034380
01/03/2024,10,0.034350
01/03/2024,11,0.031390
01/03/2024,12,0.029380
01/03/2024,13,0.026600
01/03/2024,14,0.026480
01/03/2024,15,0.026430
01/03/2024,16,0.031760
01/03/2024,17,0.039310
01/03/2024,18,0.037810
01/03/2024,19,0.033680
01/03/2024,20,0.031720
01/03/2024,21,0.028920
01/03/2024,22,0.027550
01/03/2024,23,0.027440
01/03/2024,24,0.028000
01/04/2024,01,0.026830
01/04/2024,02,0.027080
01/04/2024,03,0.027440
01/04/2024,04,0.028740
01/04/2024,05,0.031900
01/04/2024,06,0.036150
01/04/2024,07,0.050370
01/04/2024,08,0.044410
01/04/2024,09,0.038300
01/04/2024,10,0.035100
01/04/2024,11,0.033510
01/04/2024,12,0.030590
01/04/2024,13,0.029450
01/04/2024,14,0.028940
01/04/2024,15,0.028970
01/04/2024,16,0.035430
01/04/2024,17,0.045300
01/04/2024,18,0.045620
01/04/2024,19,0.039770
01/04/2024,20,0.036660
01/04/2024,21,0.035070
01/04/2024,22,0.032800
01/04/2024,23,0.029070
01/04/2024,24,0.029560
01/05/2024,01,0.027300
01/05/2024,02,0.027430
01/05/2024,03,0.027380
01/05/2024,04,0.027950
01/05/2024,05,0.029380
01/05/2024,06,0.035960
01/05/2024,07,0.049980
01/05/2024,08,0.042370
01/05/2024,09,0.036620
01/05/2024,10,0.034580
01/05/2024,11,0.033160
01/05/2024,12,0.030400
01/05/2024,13,0.030750
01/05/2024,14,0.031540
01/05/2024,15,0.032730
01/05/2024,16,0.038650
01/05/2024,17,0.041320
01/05/2024,18,0.039570
01/05/2024,19,0.037210
01/05/2024,20,0.035320
01/05/2024,21,0.034030
01/05/2024,22,0.033820
01/05/2024,23,0.031530
01/05/2024,24,0.033470
01/06/2024,01,0.030660
01/06/2024,02,0.029750
01/06/2024,03,0.028900
01/06/2024,04,0.028660
01/06/2024,05,0.030990
01/06/2024,06,0.031090
