DATE,C RES PRICE,C PEA,A RES PRICE,A TIER PRICE,A PEA
2017-01-01 01:00:00,6.318,-0.5,6.519,4.781,-0.321
2017-02-01 01:00:00,6.318,-0.5,6.519,4.781,-0.322
2017-03-01 01:00:00,6.318,-0.133,6.519,4.781,-0.448
2017-04-01 01:00:00,6.318,-0.5,6.519,4.781,-0.523
2017-05-01 01:00:00,6.318,-0.157,6.519,4.781,-0.519
2017-06-01 01:00:00,6.892,0.152,5.369,5.369,-0.435
2017-07-01 01:00:00,6.892,0.077,5.369,5.369,-0.421
2017-08-01 01:00:00,6.892,0.19,5.369,5.369,-0.329
2017-09-01 01:00:00,6.892,0.211,5.369,5.369,-0.333
2017-10-01 01:00:00,7.149,-0.5,6.167,4.525,-0.319
2017-11-01 01:00:00,7.149,-0.5,6.167,4.525,-0.256
2017-12-01 01:00:00,7.149,-0.5,6.167,4.525,-0.099
2018-01-01 01:00:00,7.195,-0.409,6.162,4.52,-0.075
2018-02-01 01:00:00,7.195,0.29,6.162,4.52,-0.078
2018-03-01 01:00:00,7.195,-0.297,6.162,4.52,-0.28
2018-04-01 01:00:00,7.195,-0.5,6.162,4.52,-0.283
2018-05-01 01:00:00,7.195,-0.377,6.162,4.52,-0.206
2018-06-01 01:00:00,7.358,-0.024,4.658,4.658,-0.303
2018-07-01 01:00:00,7.358,-0.307,4.658,4.658,-0.246
2018-08-01 01:00:00,7.358,-0.088,4.658,4.658,-0.367
2018-09-01 01:00:00,7.356,-0.363,4.658,4.658,-0.117
2018-10-01 01:00:00,7.292,-0.5,5.038,4.379,-0.072
2018-11-01 01:00:00,7.292,-0.5,5.038,4.379,-0.072
2018-12-01 01:00:00,7.292,-0.5,5.038,4.379,0.004
2019-01-01 01:00:00,7.219,-0.5,5.026,4.367,0.021
2019-02-01 01:00:00,7.219,-0.5,5.026,4.367,-0.08
2019-03-01 01:00:00,7.219,-0.5,5.026,4.367,-0.304
2019-04-01 01:00:00,7.219,-0.5,5.026,4.367,-0.328
2019-05-01 01:00:00,7.219,-0.5,5.026,4.367,-0.124
2019-06-01 01:00:00,6.725,-0.08,4.561,4.561,-0.129
2019-07-01 01:00:00,6.725,-0.417,4.561,4.561,-0.108
2019-08-01 01:00:00,6.725,0.419,4.561,4.561,-0.188
2019-09-01 01:00:00,6.723,-0.006,4.561,4.561,-0.275
2019-10-01 01:00:00,7.224,0.117,4.715,4.476,-0.3
2019-11-01 01:00:00,7.224,-0.5,4.715,4.476,-0.038
2019-12-01 01:00:00,7.224,-0.497,4.715,4.476,-0.005
2020-01-01 01:00:00,7.175,-0.208,4.707,4.468,-0.061
2020-02-01 01:00:00,7.175,0.212,4.707,4.468,-0.141
2020-03-01 01:00:00,7.175,-0.443,4.707,4.468,-0.206
2020-04-01 01:00:00,7.175,-0.309,4.707,4.468,-0.272
2020-05-01 01:00:00,7.175,0.397,4.707,4.468,-0.204
2020-06-01 01:00:00,6.473,0.191,4.396,4.396,-0.176
2020-07-01 01:00:00,6.473,0.296,4.396,4.396,-0.202
2020-08-01 01:00:00,6.473,0.5,4.396,4.396,-0.236
2020-09-01 01:00:00,6.473,0.046,4.396,4.396,0.28
2020-10-01 01:00:00,7.067,-0.5,4.542,4.389,0.301
2020-11-01 01:00:00,7.067,-0.5,4.542,4.389,-0.235
2020-12-01 01:00:00,7.067,-0.5,4.542,4.389,-0.113
2021-01-01 01:00:00,7.069,-0.5,4.553,4.4,-0.142
2021-02-01 01:00:00,7.069,-0.362,4.553,4.4,-0.154
2021-03-01 01:00:00,7.069,0.394,4.553,4.4,-0.08
2021-04-01 01:00:00,7.069,-0.164,4.553,4.4,-0.061
2021-05-01 01:00:00,7.069,0.125,4.553,4.4,-0.05
2021-06-01 01:00:00,6.776,0.072,4.821,4.821,0.115
2021-07-01 01:00:00,6.776,0.421,4.821,4.821,0.108
2021-08-01 01:00:00,6.776,0.5,4.821,4.821,0.108
2021-09-01 01:00:00,6.776,0.414,4.821,4.821,-0.019
2021-10-01 01:00:00,7.777,-0.5,5.407,5.209,-0.028
2021-11-01 01:00:00,7.777,-0.5,5.407,5.209,-0.083
2021-12-01 01:00:00,7.777,-0.5,5.407,5.209,-0.073
2022-01-01 01:00:00,7.809,-0.232,5.478,5.28,-0.053
2022-02-01 01:00:00,7.809,0.5,5.478,5.28,-0.053
2022-03-01 01:00:00,7.809,0.5,5.478,5.28,-0.065
2022-04-01 01:00:00,7.809,0.115,5.478,5.28,-0.099
2022-05-01 01:00:00,7.809,0.326,5.478,5.28,-0.059
2022-06-01 01:00:00,11.041,0.193,10.623,10.623,-0.032
2022-07-01 01:00:00,11.041,0.336,10.628,10.628,-0.053
2022-08-01 01:00:00,11.041,0.5,10.628,10.628,-0.048
2022-09-01 01:00:00,11.049,0.5,10.628,10.628,0.021
2022-10-01 01:00:00,9.765,-0.5,12.236,9.777,0.249
2022-11-01 01:00:00,9.765,-0.5,12.236,9.777,0.297
2022-12-01 01:00:00,9.765,-0.5,12.236,9.777,0.479
